"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 17:30:24 IST 2024","Wed Jun 12 17:30:37 IST 2024","12477","","Verify User is Able to login to the Application ","","Verify User is Able to login to the Application ","Verify Login","Verify Login",""
"passed","Thu Jun 13 16:55:51 IST 2024","Thu Jun 13 16:56:08 IST 2024","17714","","Verify user is able to do the payment","","Verify user is able to do the payment","Proceed to pay ","Proceed to pay ",""
"passed","Wed Jun 12 17:30:29 IST 2024","Wed Jun 12 17:30:40 IST 2024","10660","","Verify User is Able to login to the Application ","","Verify User is Able to login to the Application ","Verify Login","Verify Login",""
"passed","Thu Jun 13 17:06:33 IST 2024","Thu Jun 13 17:06:49 IST 2024","16585","","Verify user is able to do the payment","","Verify user is able to do the payment","Proceed to pay and Confirm Payment Success Message","Proceed to pay and Confirm Payment Success Message",""
"passed","Fri Jun 14 12:29:00 IST 2024","Fri Jun 14 12:29:03 IST 2024","2666","","Verify user is able to do the payment","","Verify user is able to do the payment","Proceed to pay and Confirm Payment Success Message","Proceed to pay and Confirm Payment Success Message",""
